date,RV,RQ,RS_plus,RS_minus,delta_J,BV,TPQ,MedRQ,nobs
1997-11-14,7.7935113e-05,2.3452310000000007e-12,4.38904626e-05,3.404465e-05,9.845812600000004e-06,5.8179268e-05,8.699549e-13,7.974396e-13,78
1997-11-17,3.8990633e-05,4.316066e-13,2.18716892e-05,1.7118944e-05,4.7527452e-06,3.8079698e-05,3.6615720000000003e-13,2.9364200000000004e-13,78
1997-11-18,2.1179732e-05,2.2343550000000006e-13,7.3135543e-06,1.3866177e-05,-6.5526226999999995e-06,1.8650692e-05,1.158053e-13,3.1856870000000004e-14,78
1997-11-19,5.6940485e-05,1.3650500000000005e-12,2.80403074e-05,2.8900178e-05,-8.598706000000012e-07,5.8148888e-05,1.2941890000000002e-12,5.327328000000001e-13,78
1997-11-20,3.6181824000000005e-05,4.261583000000001e-13,1.99336811e-05,1.6248142e-05,3.6855391000000018e-06,3.494836e-05,4.426515000000001e-13,1.917767e-13,78
1997-11-21,0.0001044277839999,1.27347e-11,2.9177291300000003e-05,7.5250493e-05,-4.6073201699999995e-05,7.585319000000001e-05,2.594255e-12,1.3131300000000005e-12,78
1997-11-24,0.000252939869,2.425508e-11,0.0001210332613,0.000131906608,-1.0873346699999998e-05,0.000256591546,2.4528900000000003e-11,1.4742200000000002e-11,78
1997-11-25,6.852813500000001e-05,1.6144940000000002e-12,4.0532024e-05,2.7996111e-05,1.2535913e-05,7.5543262e-05,1.94354e-12,8.046906000000001e-13,78
1997-11-26,5.8335932999999995e-05,2.0769610000000002e-12,3.75792788e-05,2.0756654e-05,1.68226248e-05,5.0933363e-05,8.423693e-13,4.753847e-13,78
1997-11-28,6.2245206e-05,1.3081830000000001e-12,2.79199729e-05,3.4325233e-05,-6.405260099999999e-06,6.163529e-05,1.260326e-12,5.078128e-13,78
1997-12-01,0.000166899755,1.00272e-11,9.59471612e-05,7.0952594e-05,2.4994567199999996e-05,0.00014333089,6.366202000000001e-12,3.4779680000000004e-12,78
1997-12-02,0.000256297491,2.915322e-11,9.89481003e-05,0.00015734939,-5.84012897e-05,0.000264150534,2.855716e-11,1.4677040000000002e-11,78
1997-12-03,0.000968910054,1.223316e-09,0.0001543869436,0.00081452311,-0.0006601361664,0.0007620414,7.516379000000001e-10,3.0176710000000004e-10,78
1997-12-04,0.001366281129,1.3403530000000002e-09,0.0010020076729,0.000364273456,0.0006377342169,0.001315225798,7.652591e-10,2.270483e-10,78
1997-12-05,0.00041544361,4.42765e-11,0.0002166596942,0.000198783916,1.7875778199999992e-05,0.000471217104,7.222406e-11,3.634276e-11,78
1997-12-08,0.000436266318,5.955709000000001e-11,0.000232975878,0.00020329044,2.968543800000001e-05,0.000482593018,7.166685e-11,2.6707390000000006e-11,78
1997-12-09,0.000242862779,1.7926440000000003e-11,0.0001108985484,0.000131964231,-2.1065682600000015e-05,0.00024570256,2.20119e-11,8.148365e-12,78
1997-12-10,5.7704676e-05,1.066439e-12,3.80484542e-05,1.9656221e-05,1.83922332e-05,5.3739745000000006e-05,9.780591e-13,5.247516000000001e-13,78
1997-12-11,8.0709386e-05,2.1439840000000002e-12,4.18077785e-05,3.8901608e-05,2.9061704999999995e-06,7.1348385e-05,1.4374740000000002e-12,5.750023e-13,78
1997-12-12,0.000108739587,5.680610000000001e-12,6.535449770000001e-05,4.3385089e-05,2.1969408700000003e-05,0.000106743245,4.435403e-12,1.4693550000000005e-12,78
1997-12-15,7.0245425e-05,1.7845960000000002e-12,3.24858254e-05,3.7759599e-05,-5.2737735999999985e-06,5.8333651e-05,7.868960000000001e-13,4.915927e-13,78
1997-12-16,0.000285098057,2.8622930000000005e-11,0.000178844465,0.000106253592,7.2590873e-05,0.000266664601,2.84123e-11,2.140074e-11,78
1997-12-17,9.8081251e-05,2.7185680000000007e-12,3.69541513e-05,6.11271e-05,-2.4172948700000003e-05,0.000101906415,3.092592000000001e-12,1.208349e-12,78
1997-12-18,4.0722915e-05,6.919671000000002e-13,1.6547238100000002e-05,2.4175677000000003e-05,-7.6284389000000014e-06,3.5667892e-05,3.411481000000001e-13,1.9211630000000005e-13,78
1997-12-19,0.000245031969,3.213602e-11,7.729879220000001e-05,0.000167733176,-9.04343838e-05,0.000245728764,2.893475e-11,8.856495e-12,78
1997-12-22,0.000147433134,7.364925e-12,7.710323150000001e-05,7.0329902e-05,6.773329500000003e-06,0.000130307383,6.068901000000001e-12,3.498328e-12,78
1997-12-23,0.000129017472,5.018265e-12,8.01272208e-05,4.8890251e-05,3.12369698e-05,0.000129990818,5.212625000000001e-12,1.9825710000000007e-12,78
1997-12-24,7.2686918e-05,1.7200850000000001e-12,4.25154464e-05,3.0171471e-05,1.2343975400000002e-05,6.680066e-05,1.993445e-12,1.416789e-12,78
1997-12-26,6.2237087e-05,1.1587740000000002e-12,2.52227357e-05,3.7014351e-05,-1.1791615300000003e-05,6.638832300000001e-05,1.363408e-12,7.289028000000002e-13,78
1997-12-29,8.159239e-05,2.1554980000000003e-12,5.211313210000001e-05,2.9479258000000003e-05,2.26338741e-05,7.308765e-05,1.70811e-12,9.445794000000005e-13,78
1997-12-30,5.695625600000001e-05,1.1351270000000001e-12,3.60374124e-05,2.0918843e-05,1.51185694e-05,5.108394200000001e-05,7.575024000000001e-13,4.647186000000002e-13,78
